Date,Time,Open,High,Low,Close,Volume,NumberOfTrades,BidVolume,AskVolume
12/12/17, 15:30:00.0,2668.25,2668.75,2668.25,2668.5,1272,242,600,672
12/12/17, 15:33:00.0,2668.5,2668.5,2668.25,2668.5,54,27,6,48
12/12/17, 15:36:00.0,2668.5,2668.75,2668.5,2668.75,735,207,305,430
12/12/17, 15:39:00.0,2668.5,2669,2668.5,2668.75,566,120,382,184
12/12/17, 15:42:00.0,2668.75,2669,2668.5,2668.75,482,64,452,30
12/12/17, 15:45:00.0,2668.5,2668.75,2668.25,2668.25,681,179,580,101
12/12/17, 15:48:00.0,2668.5,2668.5,2668.25,2668.25,65,36,31,34
12/12/17, 15:51:00.0,2668.25,2668.5,2668,2668.25,389,127,170,219
12/12/17, 15:54:00.0,2668,2668.5,2668,2668.5,743,203,221,522
12/12/17, 15:57:00.0,2668.25,2668.75,2668.25,2668.5,780,310,270,510
12/12/17, 17:00:00.0,2667.75,2668.25,2666.75,2667.25,3308,1024,2612,696
12/12/17, 17:03:00.0,2667.25,2668.25,2667,2668.25,811,212,221,590
12/12/17, 17:06:00.0,2668.25,2668.25,2668,2668,124,49,43,81
12/12/17, 17:09:00.0,2668.25,2668.5,2667.75,2668,1191,367,719,472
12/12/17, 17:12:00.0,2668,2668.25,2667.75,2667.75,173,66,119,54
12/12/17, 17:15:00.0,2667.75,2667.75,2667,2667.5,1191,330,700,491
12/12/17, 17:18:00.0,2667.5,2667.75,2666.5,2666.5,706,211,454,252
12/12/17, 17:21:00.0,2666.75,2666.75,2666.5,2666.75,121,53,71,50
12/12/17, 17:24:00.0,2666.75,2667,2666.5,2666.75,225,65,68,157
12/12/17, 17:27:00.0,2666.75,2666.75,2666.5,2666.75,69,32,36,33
12/12/17, 17:30:00.0,2666.75,2667,2666.5,2667,145,76,37,108
12/12/17, 17:33:00.0,2667,2667.25,2666.5,2666.5,873,303,669,204
12/12/17, 17:36:00.0,2666.5,2666.5,2666.25,2666.25,207,72,174,33
12/12/17, 17:39:00.0,2666.25,2666.5,2666,2666.25,191,105,110,81
12/12/17, 17:42:00.0,2666,2666.5,2665.75,2666.25,1297,236,920,377
12/12/17, 17:45:00.0,2666.25,2666.25,2665.5,2666,502,195,263,239
12/12/17, 17:48:00.0,2666,2666,2665.75,2666,71,39,9,62
12/12/17, 17:51:00.0,2666,2666.5,2666,2666.5,165,63,40,125
12/12/17, 17:54:00.0,2666.5,2666.5,2666,2666,159,62,124,35
12/12/17, 17:57:00.0,2666,2666.25,2664.5,2665,1684,542,1332,352
12/12/17, 18:00:00.0,2664.75,2665.25,2664,2664.75,1067,455,583,484
12/12/17, 18:03:00.0,2665,2665,2664,2664,554,284,320,234
12/12/17, 18:06:00.0,2664.25,2665.25,2664,2665.25,403,209,118,285
12/12/17, 18:09:00.0,2665.25,2665.25,2665,2665.25,333,153,170,163
12/12/17, 18:12:00.0,2665.5,2666,2665.25,2665.75,275,127,77,198
12/12/17, 18:15:00.0,2665.5,2665.75,2665.5,2665.5,169,64,70,99
12/12/17, 18:18:00.0,2665.5,2665.75,2665.5,2665.75,32,18,9,23
12/12/17, 18:21:00.0,2665.75,2665.75,2665.25,2665.5,127,70,51,76
12/12/17, 18:24:00.0,2665.5,2665.5,2665.25,2665.25,126,49,85,41
12/12/17, 18:27:00.0,2665.5,2665.5,2665,2665.25,179,76,19,160
12/12/17, 18:30:00.0,2665.5,2665.75,2665.25,2665.5,170,82,49,121
12/12/17, 18:33:00.0,2665.5,2665.75,2665.5,2665.5,398,108,23,375
12/12/17, 18:36:00.0,2665.75,2665.75,2665.5,2665.75,35,22,20,15
12/12/17, 18:39:00.0,2665.75,2666,2665.75,2665.75,203,45,17,186
12/12/17, 18:42:00.0,2666,2666,2666,2666,152,64,0,152
12/12/17, 18:45:00.0,2666,2666,2666,2666,89,43,0,89
12/12/17, 18:48:00.0,2666,2666,2665.75,2665.75,410,126,121,289
12/12/17, 18:51:00.0,2665.75,2666,2665.75,2666,71,36,7,64
12/12/17, 18:54:00.0,2666,2666,2665.75,2665.75,256,129,185,71
12/12/17, 18:57:00.0,2665.75,2665.75,2665,2665.25,415,162,248,167
12/12/17, 19:00:00.0,2665.25,2665.5,2665.25,2665.25,257,104,130,127
